Epoch 001 | loss = 0.0666
Epoch 002 | loss = 0.0605
Epoch 003 | loss = 0.0589
Epoch 004 | loss = 0.0581
Epoch 005 | loss = 0.0577
Epoch 006 | loss = 0.0573
Epoch 007 | loss = 0.0571
Epoch 008 | loss = 0.0568
Epoch 009 | loss = 0.0566
Epoch 010 | loss = 0.0564
Epoch 011 | loss = 0.0563
Epoch 012 | loss = 0.0562
Epoch 013 | loss = 0.0561
Epoch 014 | loss = 0.0560
Epoch 015 | loss = 0.0559
Epoch 016 | loss = 0.0559
Epoch 017 | loss = 0.0558
Epoch 018 | loss = 0.0558
Epoch 019 | loss = 0.0557
Epoch 020 | loss = 0.0557
